m/z	I	S/N	Res.	I %	
574.18427	2926604	8.0	211096	0.2	
574.20108	5368850	16.2	205529	0.4	
574.20560	3395603	9.5	204333	0.3	
575.14056	3942745	11.4	212354	0.3	
575.15591	10050910	31.8	206719	0.8	
575.17711	5578086	16.9	231975	0.4	
575.19220	12918123	41.4	214705	1.0	
575.21356	6188403	18.9	223271	0.5	
575.57723	2767346	7.4	234585	0.2	
576.12719	7730865	24.1	202892	0.6	
576.14843	2909880	7.9	232257	0.2	
576.15889	3353276	9.4	222352	0.3	
576.16373	5846718	17.7	207112	0.4	
576.19572	4619977	13.6	199783	0.3	
577.09866	3117058	8.6	262585	0.2	
577.13510	5920783	18.0	231971	0.4	
577.15619	3577878	10.1	248357	0.3	
577.17155	17383452	56.4	214637	1.3	
577.19268	4788259	14.2	218242	0.4	
577.20791	10379304	32.9	222536	0.8	
577.30215	2767945	7.4	215672	0.2	
578.12754	2740583	7.3	219013	0.2	
578.14286	6236524	19.1	218149	0.5	
578.17498	5208439	15.6	184491	0.4	
578.17934	7565689	23.5	211103	0.6	
579.11469	5483196	16.5	205467	0.4	
579.15083	11862728	37.9	209168	0.9	
579.17187	3120847	8.6	227608	0.2	
579.18711	28959444	95.2	211516	2.2	
579.20813	2973404	8.1	190552	0.2	
579.22357	7092961	21.9	209144	0.5	
580.08581	3257354	9.1	208043	0.2	
580.12198	4901911	14.6	221889	0.4	
580.15861	7791651	24.3	208269	0.6	
580.19045	9880622	31.3	199016	0.7	
580.19495	8487984	26.6	212901	0.6	
581.09361	2987365	8.2	221884	0.2	
581.13010	6874481	21.2	219352	0.5	
581.16640	19826046	64.6	208005	1.5	
581.18721	4840837	14.4	212994	0.4	
581.19283	3042695	8.3	272925	0.2	
581.20284	34547080	113.9	210847	2.6	
581.22395	6927761	21.4	225848	0.5	
581.23906	3132822	8.7	227679	0.2	
582.10149	4247230	12.4	214851	0.3	
582.13770	7640779	23.8	214429	0.6	
582.16995	6629078	20.4	197368	0.5	
582.17426	9541335	30.1	214077	0.7	
582.19557	2867934	7.8	248259	0.2	
582.20620	11933410	38.1	206900	0.9	
582.21065	5275364	15.8	182466	0.4	
583.10934	5459991	16.4	216510	0.4	
583.14563	9992227	31.6	215532	0.8	
583.16071	4031528	11.7	188884	0.3	
583.16672	3382314	9.5	218809	0.3	
583.18207	29009968	95.3	207829	2.2	
583.21851	18360380	59.7	211624	1.4	
584.11712	5882223	17.9	212967	0.4	
584.14884	3953017	11.4	207766	0.3	
584.15357	8743291	27.4	216323	0.7	
584.17458	3457410	9.7	224202	0.3	
584.18543	8726918	27.4	196983	0.7	
584.19003	7698824	23.9	221318	0.6	
584.22172	4835730	14.4	193449	0.4	
584.46597	2894309	7.8	230087	0.2	
585.10376	5489343	16.5	228192	0.4	
585.12490	5524166	16.7	190656	0.4	
585.14007	3296971	9.2	234387	0.2	
585.16133	13191890	42.3	210708	1.0	
585.16693	4049620	11.7	151040	0.3	
585.17646	5561047	16.8	192732	0.4	
585.18778	2875099	7.8	226972	0.2	
585.19772	34466528	113.6	208422	2.6	
585.23419	5665515	17.1	227819	0.4	
586.09652	2759696	7.4	235773	0.2	
586.13275	4060188	11.8	221228	0.3	
586.14787	2921505	7.9	215875	0.2	
586.16471	4312103	12.6	181144	0.3	
586.16901	5583912	16.9	218628	0.4	
586.20115	10972211	34.9	198144	0.8	
586.20570	4257845	12.4	185887	0.3	
586.48140	6175890	18.8	204358	0.5	
587.10406	3616101	10.3	209367	0.3	
587.11960	2646378	7.0	220566	0.2	
587.14067	5444978	16.4	230306	0.4	
587.15585	9252214	29.1	210534	0.7	
587.17698	11513214	36.7	204055	0.9	
587.19226	8424835	26.4	212718	0.6	
587.21335	12766602	40.9	208333	1.0	
587.32252	2598319	6.9	254052	0.2	
587.48455	2782694	7.5	215517	0.2	
588.11213	4034234	11.7	226718	0.3	
588.14838	3980998	11.5	230576	0.3	
588.16352	6676171	20.5	200897	0.5	
588.18029	4243153	12.4	217266	0.3	
588.18476	5922515	18.0	212762	0.4	
588.19581	3056342	8.4	224777	0.2	
588.21683	3989213	11.5	230950	0.3	
589.12007	3302414	9.2	222850	0.3	
589.13490	3500051	9.9	242546	0.3	
589.15637	5222426	15.6	214497	0.4	
589.17149	18206752	59.1	208130	1.4	
589.19261	12877862	41.3	206391	1.0	
589.20781	7098412	21.9	206468	0.5	
589.59286	2749613	7.4	226850	0.2	
590.14275	4733286	14.0	203289	0.4	
590.17492	6547825	20.1	199348	0.5	
590.17930	6105459	18.6	221795	0.5	
590.19599	3352952	9.4	241885	0.3	
590.20014	2813306	7.6	202170	0.2	
591.13567	2648756	7.0	255644	0.2	
591.15071	11506361	36.7	204988	0.9	
591.17199	4041408	11.7	246147	0.3	
591.18722	24163014	79.1	207314	1.8	
591.20826	3334860	9.3	243883	0.3	
591.22328	3480273	9.8	236063	0.3	
592.12220	4463615	13.1	197412	0.3	
592.15855	6192139	18.9	193451	0.5	
592.19057	8754198	27.5	201415	0.7	
592.19503	7427095	23.0	211226	0.6	
592.34035	3326024	9.3	178223	0.3	
592.54354	3433612	9.6	243049	0.3	
593.09386	2768196	7.4	219214	0.2	
593.12987	5610832	16.9	207678	0.4	
593.16646	14972252	48.3	203937	1.1	
593.20283	48756072	161.5	206286	3.7	
594.10150	3323541	9.3	219057	0.3	
594.13783	5662369	17.1	202999	0.4	
594.16986	5258924	15.8	178576	0.4	
594.17431	7620269	23.7	203939	0.6	
594.20619	16111287	52.1	201886	1.2	
594.21075	11687609	37.3	199255	0.9	
594.55933	3654445	10.4	214232	0.3	
595.10943	3325925	9.3	203566	0.3	
595.14573	8873969	27.9	200126	0.7	
595.18214	22853628	74.7	206721	1.7	
595.20835	3391494	9.5	204424	0.3	
595.21851	50673672	167.9	202394	3.8	
595.56247	2804860	7.5	196320	0.2	
596.11703	4634932	13.7	227758	0.4	
596.15346	6330688	19.3	214016	0.5	
596.18537	7315787	22.6	195716	0.6	
596.18994	10041676	31.8	206300	0.8	
596.22180	16398679	53.1	201691	1.2	
596.22660	2893145	7.8	194795	0.2	
596.46588	2877864	7.8	269615	0.2	
597.12508	6263427	19.1	212297	0.5	
597.16142	11340431	36.1	211321	0.9	
597.17639	3034772	8.3	204768	0.2	
597.19772	25574044	83.8	205664	1.9	
597.22527	3458724	9.7	200388	0.3	
597.23417	7142055	22.1	209127	0.5	
598.13287	5487570	16.5	222406	0.4	
598.16929	7357406	22.8	198228	0.6	
598.20114	8776680	27.5	191491	0.7	
598.20562	6544362	20.1	191699	0.5	
598.23741	3034100	8.3	202904	0.2	
598.48126	5274693	15.8	215428	0.4	
599.14075	5491999	16.5	222772	0.4	
599.15583	3271972	9.1	186968	0.2	
599.17701	16203051	52.4	201895	1.2	
599.19197	4906288	14.6	229596	0.4	
599.21340	20004152	65.2	201188	1.5	
599.24954	3345731	9.3	212525	0.3	
600.11203	4042337	11.7	225911	0.3	
600.14838	4052589	11.7	248065	0.3	
600.18042	5340791	16.0	190413	0.4	
600.18487	6213241	19.0	206953	0.5	
600.21678	5987971	18.2	182038	0.5	
600.49709	8617696	27.0	208080	0.7	
601.12001	4745133	14.0	208451	0.4	
601.15617	5058489	15.1	189748	0.4	
601.17148	7819198	24.3	186191	0.6	
601.19266	20905926	68.2	202064	1.6	
601.20788	4108234	11.9	202948	0.3	
601.22912	11681745	37.3	202814	0.9	
601.50042	3418155	9.6	189418	0.3	
602.12786	2706682	7.1	189770	0.2	
602.14314	3244287	8.9	206956	0.2	
602.16412	4616454	13.4	222464	0.3	
602.17932	4081931	11.6	206370	0.3	
602.19615	4843792	14.2	211188	0.4	
602.20053	3612946	10.1	226638	0.3	
602.23228	2881820	7.7	247999	0.2	
603.13514	2653765	6.9	227388	0.2	
